"","College.grounds","Diameter.breast.height..cm.","Colour..B.RB.G.","Height..cm.","Bird.bites","Rodent.bites","Insect.bites","Snail.marks","All.Bites","missing..fallen"
"183","Homerton","34","RB",45,0,0,0,0,0,"missing"
"184","Homerton","34","RB",60,0,0,2,1,3,""
"191","St Catharine's","40","B",150,0,0,4,0,4,""
"192","St Catharine's","40","B",180,0,0,3,0,3,""
"193","St Catharine's","40","B",210,0,0,6,0,6,""
"194","St Catharine's","40","G",150,0,0,3,0,3,""
"195","St Catharine's","40","G",180,0,0,0,0,0,"fallen"
"196","St Catharine's","40","G",210,0,0,1,0,1,""
"197","St Catharine's","40","RB",150,0,0,2,0,0,""
"198","St Catharine's","40","RB",180,0,0,1,0,1,""
"199","St Catharine's","40","RB",210,0,0,0,0,0,""
"201","Selwyn","60","B",25,0,0,6,0,6,""
"202","Selwyn","60","B",25,0,0,5,0,5,""
"203","Selwyn","60","B",25,0,2,3,0,5,""
"204","Selwyn","60","G",25,0,0,3,0,3,""
"205","Selwyn","60","G",25,0,0,2,0,2,""
"206","Selwyn","60","G",25,0,0,6,0,6,""
"207","Selwyn","60","RB",25,0,0,6,0,6,""
"208","Selwyn","60","RB",25,0,0,4,0,4,""
"209","Selwyn","60","RB",25,0,0,3,0,3,""
"212","Kings","80","G",60,0,1,4,0,5,""
"213","Kings","80","B",60,2,6,5,0,13,""
"214","Kings","80","RB",60,0,2,3,0,5,""
"215","Kings","80","G",45,2,2,5,0,9,""
"216","Kings","80","B",45,4,8,6,0,18,""
"217","Kings","80","RB",45,0,0,3,0,3,""
"218","Kings","80","G",30,0,3,5,0,8,""
"219","Kings","80","B",30,0,0,5,0,5,""
"220","Kings","80","RB",30,0,0,4,0,4,""
"223","Fitzwilliam","60cm","B",60,0,0,0,0,0,""
"224","Fitzwilliam","60cm","RB",60,0,0,0,0,0,""
"225","Fitzwilliam","60cm","G",60,0,0,0,4,4,""
"226","Fitzwilliam","60cm","B",45,0,0,3,0,3,""
"227","Fitzwilliam","60cm","RB",45,0,0,0,2,2,"fallen"
"228","Fitzwilliam","60cm","G",45,0,0,0,10,10,""
"229","Fitzwilliam","60cm","B",30,0,0,0,0,0,"missing"
"230","Fitzwilliam","60cm","RB",30,0,0,0,5,5,"fallen"
"231","Fitzwilliam","60cm","G",30,0,0,0,0,0,"missing"
"239","Christ's","37","RB",60,0,0,0,0,0,""
"240","Christ's","37","RB",65,0,0,0,0,0,""
"241","Christ's","37","RB",60,0,0,0,0,0,"missing"
"242","Christ's","37","G",65,1,0,0,0,1,""
"243","Christ's","37","G",60,0,0,1,0,1,""
"244","Christ's","37","G",60,1,0,0,0,1,""
"245","Christ's","37","B",65,0,0,0,0,0,""
"246","Christ's","37","B",60,0,0,0,0,0,""
"247","Christ's","37","B",60,0,0,0,0,0,"missing "
"249","Clare","45","B",15,1,0,5,0,6,"fallen"
"250","Clare","45","G",15,0,0,10,0,10,""
"251","Clare","45","RB",15,0,0,2,0,2,""
"252","Clare","45","B",45,0,0,3,0,3,""
"253","Clare","45","G",45,0,0,10,0,10,""
"254","Clare","45","RB",45,0,0,2,0,2,""
"255","Clare","45","B",60,0,0,0,0,0,"missing"
"256","Clare","45","G",60,0,0,10,0,10,""
"257","Clare","45","RB",60,0,0,4,0,4,""
"259","Corpus christi","92","B",30,0,0,0,10,10,""
"260","Corpus christi","92","RB",30,0,0,0,10,10,""
"261","Corpus christi","92","G",30,3,0,2,10,15,""
"262","Corpus christi","92","B",45,0,0,0,10,10,""
"263","Corpus christi","92","RB",45,1,2,1,5,9,""
"264","Corpus christi","92","G",45,0,2,2,10,14,""
"265","Corpus christi","92","B",60,0,1,0,5,6,""
"266","Corpus christi","92","RB",60,0,0,2,4,6,""
"267","Corpus christi","92","G",60,0,0,4,7,11,""
"272","Queens","50","B",15,0,0,0,0,0,""
"273","Queens","50","B",30,0,0,0,0,0,""
"274","Queens","50","B",45,0,1,0,0,0,""
"275","Queens","50","G",15,0,0,3,3,6,""
"276","Queens","50","G",30,0,0,1,0,1,"missing"
"277","Queens","50","G",45,0,0,0,0,0,"fallen"
"281","Fitzwilliam","80","RB",30,0,1,0,0,1,""
"282","Fitzwilliam","80","G",30,0,1,0,0,1,""
"283","Fitzwilliam","80","B",30,0,2,0,0,2,""
"284","Fitzwilliam","80","RB",45,0,1,0,0,1,""
"285","Fitzwilliam","80","G",45,0,0,0,0,0,""
"286","Fitzwilliam","80","B",45,2,1,0,0,3,""
"287","Fitzwilliam","80","RB",60,2,0,0,0,0,""
"288","Fitzwilliam","80","G",60,0,2,2,0,4,""
"289","Fitzwilliam","80","B",60,0,3,0,0,3,""
"300","Trinity fellows garden ","230","B",30,0,1,0,0,1,""
"301","Trinity fellows garden ","230","RB",30,0,0,1,1,2,""
"302","Trinity fellows garden ","230","G",30,0,0,0,0,0,"fallen"
"303","Trinity fellows garden ","230","B",45,0,0,0,0,0,"missing"
"304","Trinity fellows garden ","230","RB",45,2,1,1,0,4,""
"305","Trinity fellows garden ","230","G",45,1,1,2,0,4,""
"306","Trinity fellows garden ","230","B",60,0,0,0,0,0,"missing"
"307","Trinity fellows garden ","230","RB",60,3,0,1,0,4,""
"308","Trinity fellows garden ","230","G",60,0,2,1,0,3,"fallen"
"316","Clare","90","RB",15,0,0,1,0,1,""
"317","Clare","90","B",15,0,0,0,0,0,"missing"
"318","Clare","90","G",15,0,0,2,0,2,""
"319","Clare","90","RB",30,0,0,0,0,0,""
"320","Clare","90","B",30,0,0,1,0,1,""
"321","Clare","90","G",30,0,0,3,0,3,""
"322","Clare","90","RB",60,0,0,2,0,2,""
"323","Clare","90","B",60,0,0,0,1,1,""
"324","Clare","90","G",60,0,0,1,0,1,""
"338","Kings","36","B",30,0,0,5,0,5,""
"339","Kings","36","RB",30,0,0,2,0,2,""
"340","Kings","36","G",30,0,1,2,0,3,""
"341","Kings","36","B",45,0,2,0,0,2,""
"342","Kings","36","RB",45,1,1,1,0,3,""
"343","Kings","36","G",45,1,0,2,0,3,""
"344","Kings","36","B",60,0,0,2,0,2,""
"345","Kings","36","RB",60,2,0,1,0,3,""
"346","Kings","36","G",60,1,0,2,0,3,""
"363","Pembroke","100","B",30,1,0,3,0,4,""
"364","Pembroke","100","RB",30,2,0,2,0,4,""
"365","Pembroke","100","G",30,1,0,3,0,4,""
"366","Pembroke","100","B",45,1,0,5,0,6,""
"367","Pembroke","100","RB",45,0,0,2,0,2,""
"368","Pembroke","100","G",45,1,0,2,0,3,""
"369","Pembroke","100","B",60,0,0,0,0,0,"missing"
"370","Pembroke","100","RB",60,0,0,1,0,1,""
"371","Pembroke","100","G",60,1,0,3,1,5,""
"380","Pembroke","25","B",30,0,1,1,2,4,""
"381","Pembroke","25","B",45,0,2,0,0,2,""
"382","Pembroke","25","B",60,1,0,0,1,2,""
"383","Pembroke","25","RB",30,0,0,0,0,0,"missing"
"384","Pembroke","25","RB",45,0,1,2,0,3,""
"385","Pembroke","25","RB",60,1,0,3,1,5,"fallen"
"386","Pembroke","25","G",30,0,1,4,0,5,"fallen"
"387","Pembroke","25","G",45,1,0,5,0,6,""
"388","Pembroke","25","G",60,1,1,3,0,6,"fallen"
"393","Newnham","120","B",30,0,0,0,0,0,"missing"
"394","Newnham","120","RB",30,0,0,0,0,0,"missing"
"395","Newnham","120","G",30,0,0,0,0,0,"missing"
"396","Newnham","120","B",45,0,0,0,0,0,"missing"
"397","Newnham","120","RB",45,0,0,0,0,0,"missing"
"398","Newnham","120","G",45,0,0,0,0,0,"missing"
"399","Newnham","120","B",60,0,0,0,0,0,"missing"
"400","Newnham","120","RB",60,0,0,0,0,0,"missing"
"401","Newnham","120","G",60,0,0,0,0,0,"missing"
"403","Girton","120","B",30,3,0,1,0,4,""
"404","Girton","120","RB",30,0,1,3,7,11,""
"405","Girton","120","G",30,0,0,0,0,0,"missing"
"406","Girton","120","B",45,0,1,12,0,13,""
"407","Girton","120","RB",45,1,1,1,6,9,""
"408","Girton","120","G",45,0,0,0,0,0,"missing"
"409","Girton","120","B",60,0,3,5,7,15,""
"410","Girton","120","RB",60,1,1,2,3,7,""
"411","Girton","120","G",60,0,0,0,0,0,"missing"
"415","Pembroke","100","B",30,1,0,2,0,3,"fallen"
"416","Pembroke","100","G",30,1,2,3,0,6,""
"417","Pembroke","100","RB",30,1,0,1,0,2,""
"418","Pembroke","100","B",45,0,1,6,0,7,"fallen"
"419","Pembroke","100","G",45,1,1,6,0,8,"fallen"
"420","Pembroke","100","RB",45,0,0,0,1,1,""
"421","Pembroke","100","B",60,1,0,3,0,4,""
"422","Pembroke","100","G",60,0,0,3,0,3,"fallen"
"423","Pembroke","100","RB",60,1,0,1,0,2,""
"427","Clare","100","B",30,0,1,0,2,3,""
"428","Clare","100","RB",30,0,0,2,3,5,"fallen"
"429","Clare","100","G",30,0,0,4,7,11,""
"430","Clare","100","B",45,0,1,1,1,3,""
"431","Clare","100","RB",45,0,1,2,2,5,""
"432","Clare","100","G",45,2,3,5,3,13,"fallen"
"433","Clare","100","B",60,0,0,0,1,1,""
"434","Clare","100","RB",60,0,0,1,1,2,""
"435","Clare","100","G",60,1,1,6,0,8,"fallen"
"444","St Catharine's ","47","G",15,0,0,10,0,10,""
"445","St Catharine's ","47","G",45,0,0,4,0,4,""
"446","St Catharine's ","47","G",60,0,0,10,0,10,""
"447","St Catharine's ","47","B",15,1,0,5,0,6,""
"448","St Catharine's ","47","B",45,1,0,3,0,4,""
"449","St Catharine's ","47","B",60,0,0,0,0,0,"missing "
"450","St Catharine's ","47","RB",15,0,0,2,0,2,""
"451","St Catharine's ","47","RB",45,0,0,3,0,3,""
"452","St Catharine's ","47","RB",60,0,0,2,0,2,""
"455","Newnham","55","B",30,0,0,0,0,0,"missing"
"456","Newnham","55","RB",45,0,0,0,0,0,"missing"
"457","Newnham","55","G",60,0,0,0,0,0,"missing"
"458","Newnham","55","B",30,0,0,0,0,0,"missing"
"459","Newnham","55","RB",45,0,0,0,0,0,"missing"
"460","Newnham","55","G",60,0,0,0,0,0,"missing"
"461","Newnham","55","B",30,0,0,0,0,0,"missing"
"462","Newnham","55","RB",45,0,0,0,0,0,"missing"
"463","Newnham","55","G",60,0,0,0,0,0,"missing"
